# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2019-06-01T00:00:00.0
# Date end (ISO 8601): 2019-07-01T00:00:00.0
# Latitude (positive North, ISO 19115): 49.6100
# Longitude (positive East, ISO 19115): 6.1300
# Altitude (m): 304.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2020-10-04
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-06-01T00:00:00.0/2019-06-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-06-01T01:00:00.0/2019-06-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-06-01T02:00:00.0/2019-06-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-06-01T03:00:00.0/2019-06-01T04:00:00.0;10.5260;2.9571;0.5479;2.4093;14.5356;2.8616;0.5159;2.3458;13.8228;0.8500
2019-06-01T04:00:00.0/2019-06-01T05:00:00.0;161.7954;78.1376;42.4882;35.6494;311.0478;56.4455;7.6101;48.8354;51.6211;1.0000
2019-06-01T05:00:00.0/2019-06-01T06:00:00.0;366.8191;229.3065;163.6184;65.6881;581.5387;189.2818;92.3474;96.9343;314.9257;1.0000
2019-06-01T06:00:00.0/2019-06-01T07:00:00.0;572.5923;400.1544;315.8775;84.2770;727.5579;357.5246;225.9263;131.5983;523.9370;1.0000
2019-06-01T07:00:00.0/2019-06-01T08:00:00.0;765.1011;565.9769;468.9909;96.9859;810.5794;541.1138;450.4696;90.6441;778.5351;1.0000
2019-06-01T08:00:00.0/2019-06-01T09:00:00.0;931.2358;711.6725;606.2653;105.4073;861.7123;682.5094;581.8292;100.6802;827.0773;1.0000
2019-06-01T09:00:00.0/2019-06-01T10:00:00.0;1059.6842;824.6799;713.3556;111.3242;891.3908;791.0483;676.7577;114.2906;845.7160;1.0000
2019-06-01T10:00:00.0/2019-06-01T11:00:00.0;1141.7030;896.1249;780.7684;115.3564;905.6709;862.5405;741.1889;121.3516;859.7336;1.0000
2019-06-01T11:00:00.0/2019-06-01T12:00:00.0;1171.7135;921.1879;803.9199;117.2680;908.6660;889.5511;766.8262;122.7249;866.7383;1.0000
2019-06-01T12:00:00.0/2019-06-01T13:00:00.0;1147.6821;899.1624;784.2369;114.9256;904.9468;864.1207;741.7354;122.3854;855.8273;1.0000
2019-06-01T13:00:00.0/2019-06-01T14:00:00.0;1071.2582;831.8126;723.4310;108.3816;894.2107;741.2814;460.1248;281.1565;567.8912;1.0000
2019-06-01T14:00:00.0/2019-06-01T15:00:00.0;947.6617;723.2904;623.6660;99.6244;871.1594;632.8450;366.4108;266.4342;511.2967;1.0000
2019-06-01T15:00:00.0/2019-06-01T16:00:00.0;785.3264;581.7230;491.3429;90.3801;827.4392;499.1336;267.3172;231.8164;449.7221;1.0000
