# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-06-01T00:00:00.0
# Date end (ISO 8601): 2020-07-01T00:00:00.0
# Latitude (positive North, ISO 19115): 49.6100
# Longitude (positive East, ISO 19115): 6.1300
# Altitude (m): 304.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2020-09-28
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-06-01T00:00:00.0/2020-06-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-01T01:00:00.0/2020-06-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-01T02:00:00.0/2020-06-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-01T03:00:00.0/2020-06-01T04:00:00.0;11.0503;3.0468;0.5044;2.5424;12.9068;2.9508;0.4751;2.4757;12.2718;0.8500
2020-06-01T04:00:00.0/2020-06-01T05:00:00.0;163.2162;77.0855;40.1012;36.9843;290.3163;65.4990;28.4098;37.0892;176.8177;1.0000
2020-06-01T05:00:00.0/2020-06-01T06:00:00.0;368.0237;226.1784;156.4316;69.7468;553.7904;215.1512;149.8584;65.2928;530.3912;1.0000
2020-06-01T06:00:00.0/2020-06-01T07:00:00.0;573.6077;396.2561;304.9018;91.3542;700.6468;378.1066;294.2062;83.9004;676.0752;1.0000
2020-06-01T07:00:00.0/2020-06-01T08:00:00.0;765.9670;562.3982;456.1452;106.2530;787.2090;536.4867;439.3355;97.1512;758.2017;1.0000
2020-06-01T08:00:00.0/2020-06-01T09:00:00.0;932.0017;708.7565;592.2161;116.5404;840.8171;678.1014;569.4860;108.6154;808.6129;1.0000
2020-06-01T09:00:00.0/2020-06-01T10:00:00.0;1060.4064;823.1097;698.2863;124.8234;871.7544;788.2734;666.2082;122.0652;831.7407;1.0000
2020-06-01T10:00:00.0/2020-06-01T11:00:00.0;1142.4402;896.5963;764.7927;131.8036;886.3597;862.9952;733.5547;129.4405;850.1071;1.0000
2020-06-01T11:00:00.0/2020-06-01T12:00:00.0;1172.5231;923.6672;787.3727;136.2945;889.1415;893.7026;763.0773;130.6254;861.7038;1.0000
2020-06-01T12:00:00.0/2020-06-01T13:00:00.0;1148.6162;903.5939;769.4541;134.1397;886.9732;871.4667;740.8764;130.5903;853.9919;1.0000
2020-06-01T13:00:00.0/2020-06-01T14:00:00.0;1072.3601;837.9206;712.3936;125.5271;879.4788;805.1129;681.8307;123.2821;841.7728;1.0000
2020-06-01T14:00:00.0/2020-06-01T15:00:00.0;948.9626;730.4058;615.7750;114.6308;858.7798;701.9757;593.9542;108.0216;828.4352;1.0000
