Year,Area,pcp,tmp,tmp30sr,mean CO2,unc CO2,N [kg/ha],P2O5 [kg/ha],K2O [kg/ha],Manure applied to Soils [kg/ha],N + Manure [kg/ha],Maize [hg/ha],Millet [hg/ha]
1980,Burkina Faso,79.90309504,26.47792257,584.4122883,338.76,0.12,0.45,0.69,0.41,3.2465,3.6965000000000003,9029,4871
1981,Burkina Faso,91.97642882,25.86971267,514.5582996,340.12,0.12,1.08,1.55,0.84,3.6697,4.749700000000001,8297,4801
1982,Burkina Faso,49.25148128,27.27641724,834.1734106,341.48,0.12,1.15,1.59,0.87,3.9769,5.1269,8235,4853
1983,Burkina Faso,42.243907,29.36263384,1089.603967,343.15,0.12,1.39,2.04,1.1,4.2509,5.640899999999999,5647,4215
1984,Burkina Faso,50.84768536,28.72999289,977.7445665,344.85,0.12,1.41,1.4,1.03,4.532,5.942,6408,5147
1985,Burkina Faso,65.60783354,27.61931088,705.7023466,346.35,0.12,1.56,1.47,0.97,4.8038,6.3637999999999995,9910,6022
1986,Burkina Faso,51.10965684,28.29539552,876.7251963,347.61,0.12,2.2,1.93,1.17,4.8663,7.0663,9388,5801
1987,Burkina Faso,39.24397751,29.98727452,1145.750143,349.31,0.12,2.63,1.53,1.52,5.0078,7.6377999999999995,7408,5411
1988,Burkina Faso,47.39645429,29.32530756,983.9808929,351.69,0.12,2.23,1.08,0.93,4.5722,6.802199999999999,8194,6396
1989,Burkina Faso,44.20044196,28.99392152,1002.987647,353.2,0.12,2.27,2.2,1.26,4.6892,6.959199999999999,11623,5082
1990,Burkina Faso,38.48157323,29.93182481,1141.931431,354.45,0.12,2.58,2.11,1.23,4.8395,7.4195,14612,4393
1991,Burkina Faso,47.42246953,29.56536822,1037.795548,355.7,0.12,2.77,1.92,1.14,5.2078,7.9778,16868,7021
1992,Burkina Faso,46.06223874,29.0384213,1025.86909,356.54,0.12,2.64,2.27,1.14,5.555,8.195,15238,6510
1993,Burkina Faso,41.32230874,29.68610107,1100.309493,357.21,0.12,2.57,2.29,1.14,5.9326,8.5026,13722,6953
1994,Burkina Faso,43.70790173,29.43681942,1040.289442,358.96,0.12,3.36,1.72,1.53,6.4268,9.7868,16042,6339
1995,Burkina Faso,39.81505788,29.87908118,1123.945033,360.97,0.12,3.3,1.93,1.81,6.8009,10.1009,11441,7197
1996,Burkina Faso,42.02263016,29.71090948,1064.385658,362.74,0.12,3.23,1.77,1.79,7.0344,10.2644,15521,7527
1997,Burkina Faso,49.2819753,29.10562192,1017.074741,363.88,0.12,6.33,2.58,2.16,6.9213,13.2513,15185,5231
