countryName,pollutant,reportingYear,emissions
Austria,Cadmium and compounds (as Cd),2007,15.3
Austria,Hydrogen cyanide (HCN),2008,2396
Austria,Polycyclic aromatic hydrocarbons (PAHs),2008,135
Austria,Chlorine and inorganic compounds (as HCl),2009,40900
Austria,Dichloromethane (DCM),2009,12000
Austria,Hydrochlorofluorocarbons (HCFCs),2009,1703
Austria,Cadmium and compounds (as Cd),2010,14.6
Austria,Chlorine and inorganic compounds (as HCl),2012,65100
Austria,Dichloromethane (DCM),2012,15800
Austria,Fluorine and inorganic compounds (as HF),2012,6220
Austria,Methane (CH4),2012,11387000
Austria,Nitrogen oxides (NOX),2012,18595000
Austria,Cadmium and compounds (as Cd),2013,27.2
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2014,0.0019590000000000002
Austria,Polycyclic aromatic hydrocarbons (PAHs),2014,119
Austria,Dichloromethane (DCM),2015,17500
Austria,Methane (CH4),2015,8848000
Austria,Nitrogen oxides (NOX),2015,17009000
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2017,0.00014
Austria,Dichloromethane (DCM),2018,12300
Austria,Methane (CH4),2018,6213000
Austria,Nitrogen oxides (NOX),2018,14342000
Austria,Chromium and compounds (as Cr),2020,371
Austria,Sulphur hexafluoride (SF6),2020,272
Austria,Methane (CH4),2021,4178000
Austria,Nitrogen oxides (NOX),2021,10016000
Belgium,PCDD + PCDF (dioxins + furans) (as Teq),2007,0.008805
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2007,12842.3
Belgium,Dichloromethane (DCM),2008,229920
Belgium,Methane (CH4),2008,7499000
Belgium,Nitrogen oxides (NOX),2008,69194000
Belgium,Trichloroethylene (TRI),2008,23000
Belgium,PCDD + PCDF (dioxins + furans) (as Teq),2010,0.021208
Belgium,Sulphur hexafluoride (SF6),2010,129
Belgium,Methane (CH4),2011,5538000
Belgium,Vinyl chloride,2011,11090
Belgium,Carbon dioxide (CO2),2013,46364000000
Belgium,Sulphur hexafluoride (SF6),2013,100
Belgium,Vinyl chloride,2014,18620
Belgium,Carbon dioxide (CO2),2016,45198000000
Belgium,Sulphur hexafluoride (SF6),2016,252
Belgium,Vinyl chloride,2017,17490
Belgium,Carbon dioxide (CO2),2019,44744000000
Belgium,Polychlorinated biphenyls (PCBs),2019,9.399000000000001
Belgium,"1,2-dichloroethane (DCE-1,2)",2020,67880
Belgium,Tetrachloroethylene,2020,3630
Belgium,Vinyl chloride,2020,15270
Bulgaria,Cadmium and compounds (as Cd),2007,242.9
Bulgaria,Carbon monoxide (CO),2007,38465000
Bulgaria,Methane (CH4),2009,70042000
Bulgaria,Cadmium and compounds (as Cd),2010,383.1
Bulgaria,Carbon monoxide (CO),2010,29377000
Bulgaria,PCDD + PCDF (dioxins + furans) (as Teq),2011,0.0017
Bulgaria,Methane (CH4),2012,54428000
Bulgaria,Methane (CH4),2015,54137000
Bulgaria,Particulate matter (PM10),2015,229100
Bulgaria,Methane (CH4),2018,41738287.53
Bulgaria,Particulate matter (PM10),2018,307054.33
Bulgaria,Particulate matter (PM10),2021,342012
Croatia,Carbon dioxide (CO2),2014,7365000000
Croatia,Particulate matter (PM10),2015,738200
Croatia,Carbon dioxide (CO2),2017,7301000000
Austria,Ammonia (NH3),2007,235400
