Codice Regione,Codice Unità territoriale sovracomunale,Codice Provincia,Codice Comune formato alfanumerico,Denominazione in italiano,Codice Ripartizione Geografica,Ripartizione geografica,Regione,Provincia,Tipologia di Unità territoriale sovracomunale,Flag capoluogo di provincia città metropolitana,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune
1,201,1,1001,Agliè,1,Nord-ovest,Piemonte,Torino,3,0,TO,1001,1001,A074
1,201,1,1002,Airasca,1,Nord-ovest,Piemonte,Torino,3,0,TO,1002,1002,A109
1,201,1,1003,Ala di Stura,1,Nord-ovest,Piemonte,Torino,3,0,TO,1003,1003,A117
1,201,1,1004,Albiano d'Ivrea,1,Nord-ovest,Piemonte,Torino,3,0,TO,1004,1004,A157
1,201,1,1006,Almese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1006,1006,A218
1,201,1,1007,Alpette,1,Nord-ovest,Piemonte,Torino,3,0,TO,1007,1007,A221
1,201,1,1008,Alpignano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1008,1008,A222
1,201,1,1009,Andezeno,1,Nord-ovest,Piemonte,Torino,3,0,TO,1009,1009,A275
1,201,1,1010,Andrate,1,Nord-ovest,Piemonte,Torino,3,0,TO,1010,1010,A282
1,201,1,1011,Angrogna,1,Nord-ovest,Piemonte,Torino,3,0,TO,1011,1011,A295
1,201,1,1012,Arignano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1012,1012,A405
1,201,1,1013,Avigliana,1,Nord-ovest,Piemonte,Torino,3,0,TO,1013,1013,A518
1,201,1,1014,Azeglio,1,Nord-ovest,Piemonte,Torino,3,0,TO,1014,1014,A525
1,201,1,1015,Bairo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1015,1015,A584
1,201,1,1016,Balangero,1,Nord-ovest,Piemonte,Torino,3,0,TO,1016,1016,A587
1,201,1,1017,Baldissero Canavese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1017,1017,A590
1,201,1,1018,Baldissero Torinese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1018,1018,A591
1,201,1,1019,Balme,1,Nord-ovest,Piemonte,Torino,3,0,TO,1019,1019,A599
1,201,1,1020,Banchette,1,Nord-ovest,Piemonte,Torino,3,0,TO,1020,1020,A607
1,201,1,1021,Barbania,1,Nord-ovest,Piemonte,Torino,3,0,TO,1021,1021,A625
1,201,1,1022,Bardonecchia,1,Nord-ovest,Piemonte,Torino,3,0,TO,1022,1022,A651
1,201,1,1023,Barone Canavese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1023,1023,A673
1,201,1,1024,Beinasco,1,Nord-ovest,Piemonte,Torino,3,0,TO,1024,1024,A734
1,201,1,1025,Bibiana,1,Nord-ovest,Piemonte,Torino,3,0,TO,1025,1025,A853
1,201,1,1026,Bobbio Pellice,1,Nord-ovest,Piemonte,Torino,3,0,TO,1026,1026,A910
1,201,1,1027,Bollengo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1027,1027,A941
1,201,1,1028,Borgaro Torinese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1028,1028,A990
1,201,1,1029,Borgiallo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1029,1029,B003
1,201,1,1030,Borgofranco d'Ivrea,1,Nord-ovest,Piemonte,Torino,3,0,TO,1030,1030,B015
1,201,1,1031,Borgomasino,1,Nord-ovest,Piemonte,Torino,3,0,TO,1031,1031,B021
1,201,1,1032,Borgone Susa,1,Nord-ovest,Piemonte,Torino,3,0,TO,1032,1032,B024
1,201,1,1033,Bosconero,1,Nord-ovest,Piemonte,Torino,3,0,TO,1033,1033,B075
1,201,1,1034,Brandizzo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1034,1034,B121
1,201,1,1035,Bricherasio,1,Nord-ovest,Piemonte,Torino,3,0,TO,1035,1035,B171
1,201,1,1036,Brosso,1,Nord-ovest,Piemonte,Torino,3,0,TO,1036,1036,B205
1,201,1,1037,Brozolo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1037,1037,B209
1,201,1,1038,Bruino,1,Nord-ovest,Piemonte,Torino,3,0,TO,1038,1038,B216
1,201,1,1039,Brusasco,1,Nord-ovest,Piemonte,Torino,3,0,TO,1039,1039,B225
1,201,1,1040,Bruzolo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1040,1040,B232
1,201,1,1041,Buriasco,1,Nord-ovest,Piemonte,Torino,3,0,TO,1041,1041,B278
1,201,1,1042,Burolo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1042,1042,B279
1,201,1,1043,Busano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1043,1043,B284
1,201,1,1044,Bussoleno,1,Nord-ovest,Piemonte,Torino,3,0,TO,1044,1044,B297
1,201,1,1045,Buttigliera Alta,1,Nord-ovest,Piemonte,Torino,3,0,TO,1045,1045,B305
1,201,1,1046,Cafasse,1,Nord-ovest,Piemonte,Torino,3,0,TO,1046,1046,B350
1,201,1,1047,Caluso,1,Nord-ovest,Piemonte,Torino,3,0,TO,1047,1047,B435
1,201,1,1048,Cambiano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1048,1048,B462
1,201,1,1049,Campiglione Fenile,1,Nord-ovest,Piemonte,Torino,3,0,TO,1049,1049,B512
1,201,1,1050,Candia Canavese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1050,1050,B588
1,201,1,1051,Candiolo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1051,1051,B592
1,201,1,1052,Canischio,1,Nord-ovest,Piemonte,Torino,3,0,TO,1052,1052,B605
1,201,1,1053,Cantalupa,1,Nord-ovest,Piemonte,Torino,3,0,TO,1053,1053,B628
1,201,1,1054,Cantoira,1,Nord-ovest,Piemonte,Torino,3,0,TO,1054,1054,B637
1,201,1,1055,Caprie,1,Nord-ovest,Piemonte,Torino,3,0,TO,1055,1055,B705
1,201,1,1056,Caravino,1,Nord-ovest,Piemonte,Torino,3,0,TO,1056,1056,B733
1,201,1,1057,Carema,1,Nord-ovest,Piemonte,Torino,3,0,TO,1057,1057,B762
1,201,1,1058,Carignano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1058,1058,B777
1,201,1,1059,Carmagnola,1,Nord-ovest,Piemonte,Torino,3,0,TO,1059,1059,B791
1,201,1,1060,Casalborgone,1,Nord-ovest,Piemonte,Torino,3,0,TO,1060,1060,B867
1,201,1,1061,Cascinette d'Ivrea,1,Nord-ovest,Piemonte,Torino,3,0,TO,1061,1061,B953
1,201,1,1062,Caselette,1,Nord-ovest,Piemonte,Torino,3,0,TO,1062,1062,B955
1,201,1,1063,Caselle Torinese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1063,1063,B960
1,201,1,1064,Castagneto Po,1,Nord-ovest,Piemonte,Torino,3,0,TO,1064,1064,C045
1,201,1,1065,Castagnole Piemonte,1,Nord-ovest,Piemonte,Torino,3,0,TO,1065,1065,C048
1,201,1,1066,Castellamonte,1,Nord-ovest,Piemonte,Torino,3,0,TO,1066,1066,C133
1,201,1,1067,Castelnuovo Nigra,1,Nord-ovest,Piemonte,Torino,3,0,TO,1067,1067,C241
1,201,1,1068,Castiglione Torinese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1068,1068,C307
1,201,1,1069,Cavagnolo,1,Nord-ovest,Piemonte,Torino,3,0,TO,1069,1069,C369
1,201,1,1070,Cavour,1,Nord-ovest,Piemonte,Torino,3,0,TO,1070,1070,C404
1,201,1,1071,Cercenasco,1,Nord-ovest,Piemonte,Torino,3,0,TO,1071,1071,C487
1,201,1,1072,Ceres,1,Nord-ovest,Piemonte,Torino,3,0,TO,1072,1072,C497
1,201,1,1073,Ceresole Reale,1,Nord-ovest,Piemonte,Torino,3,0,TO,1073,1073,C505
1,201,1,1074,Cesana Torinese,1,Nord-ovest,Piemonte,Torino,3,0,TO,1074,1074,C564
1,201,1,1075,Chialamberto,1,Nord-ovest,Piemonte,Torino,3,0,TO,1075,1075,C604
1,201,1,1076,Chianocco,1,Nord-ovest,Piemonte,Torino,3,0,TO,1076,1076,C610
1,201,1,1077,Chiaverano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1077,1077,C624
1,201,1,1078,Chieri,1,Nord-ovest,Piemonte,Torino,3,0,TO,1078,1078,C627
1,201,1,1079,Chiesanuova,1,Nord-ovest,Piemonte,Torino,3,0,TO,1079,1079,C629
1,201,1,1080,Chiomonte,1,Nord-ovest,Piemonte,Torino,3,0,TO,1080,1080,C639
1,201,1,1081,Chiusa di San Michele,1,Nord-ovest,Piemonte,Torino,3,0,TO,1081,1081,C655
1,201,1,1082,Chivasso,1,Nord-ovest,Piemonte,Torino,3,0,TO,1082,1082,C665
1,201,1,1083,Ciconio,1,Nord-ovest,Piemonte,Torino,3,0,TO,1083,1083,C679
1,201,1,1084,Cintano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1084,1084,C711
1,201,1,1085,Cinzano,1,Nord-ovest,Piemonte,Torino,3,0,TO,1085,1085,C715
1,201,1,1086,Ciriè,1,Nord-ovest,Piemonte,Torino,3,0,TO,1086,1086,C722
