,region_id,population,country_id
0,272,1241185,1
1,273,656495,1
2,274,970010,1
3,275,1312520,1
4,276,509567,1
5,277,630514,1
6,278,1202486,1
7,279,856963,1
8,280,829953,1
9,281,1010006,1
10,282,2410845,1
11,283,516805,1
12,284,4830980,1
13,285,1458557,1
14,286,474686,1
15,287,825140,1
16,288,518506,1
17,289,899212,1
18,290,529683,1
19,291,454562,1
20,292,1779822,1
21,293,166003,1
22,294,174312,1
23,295,473240,1
24,296,625963,1
25,297,674991,1
26,298,432292,1
27,299,608787,1
28,300,1172770,1
29,301,386536,1
30,302,723865,1
31,303,330648,1
32,99878,487998,1
33,99879,158803,1
34,900483,1241239,1
35,900484,656515,1
36,900485,970010,1
37,900486,1312279,1
38,900487,509307,1
39,900488,510317,1
40,900489,630639,1
41,900490,1202493,1
42,900491,858028,1
43,900492,829201,1
44,900493,1010827,1
45,900494,2410235,1
46,900495,516816,1
47,900496,4830980,1
48,900497,1433916,1
49,900498,474686,1
50,900499,825815,1
51,900500,518133,1
52,900501,899235,1
53,900502,529683,1
54,900503,454562,1
55,900504,1780037,1
56,900505,166107,1
57,900506,174276,1
58,900507,473418,1
59,900508,625837,1
60,900509,158803,1
61,900510,674991,1
62,900511,432292,1
63,900512,608787,1
64,900513,1172383,1
65,900514,387598,1
66,900515,723865,1
67,900516,330654,1
68,304,6394,2
69,305,79365,3
70,306,24433,3
71,307,13926,3
72,308,23827,3
73,309,46460,3
74,310,216827,3
75,311,164509,3
76,312,141908,3
77,313,30095,3
78,314,18166,3
79,315,16429,3
80,316,50157,3
81,317,7985,3
82,318,105772,3
83,319,57394,3
84,320,21044,3
85,321,39634,3
86,322,40245,3
87,323,64403,3
88,324,45833,3
89,325,97431,3
90,326,27155,3
91,327,17442,3
92,328,33466,3
93,329,14939,3
94,330,20798,3
95,331,11494,3
96,332,55754,3
97,333,11254,3
98,334,42996,3
99,335,154105,3
100,336,10028,3
101,337,12956,3
102,338,945274,3
103,339,17411,3
104,340,112879,3
105,341,546381,4
106,342,923038,4
107,343,433014,4
108,344,4279872,4
109,345,817116,4
110,346,1497023,4
111,347,336555,4
112,348,988261,4
113,349,1007454,4
114,350,1433086,4
115,351,745206,4
116,352,798676,4
117,353,1059773,4
118,354,1206212,4
119,355,1250228,4
120,356,1680075,4
121,357,340414,4
122,358,881040,4
123,359,483956,4
124,360,462493,4
125,361,564021,4
126,362,88579,4
127,363,715202,4
128,364,474473,4
129,365,741796,4
130,366,948806,4
131,367,885316,4
132,368,898782,4
133,369,874195,4
134,370,1297879,4
135,371,350796,4
136,372,2156196,4
137,373,781806,4
138,374,780703,4
139,375,855713,4
140,376,412013,4
141,377,1766096,4
142,378,722376,4
143,379,1057647,4
144,380,561396,4
145,381,245398,4
146,382,800350,4
147,383,100079,4
148,384,1152302,4
149,385,696734,4
150,386,649817,4
151,387,1154903,4
152,388,1101997,4
153,389,51262,5
154,391,26384,7
155,392,9464,7
156,393,21381,7
157,394,21805,7
158,395,14039,7
159,396,8110,7
160,397,10335,7
161,398,649467,8
162,399,1973503,8
163,400,1078887,8
164,401,1378871,8
165,402,422421,8
166,403,1892312,8
167,404,1247671,8
168,405,1684331,8
169,406,3206859,8
170,407,299044,8
171,408,16573563,8
172,409,892490,8
173,410,510636,8
174,411,948363,8
175,412,1200435,8
176,413,637907,8
177,414,923545,8
178,415,833976,8
179,416,3355,9
180,417,2685,9
181,418,1436,9
182,419,944,9
183,420,1327,9
184,421,1582,9
185,422,534,9
186,424,579,9
187,425,332,9
188,40206,1894,11
189,40208,10415,11
190,40209,51969,11
191,40210,7264,11
192,40211,8628,11
193,40212,5838,11
194,40213,3574,11
195,429,17911478,12
196,430,2607176,12
197,431,410871,12
198,432,1140297,12
199,433,645327,12
200,434,3618205,12
201,435,1075724,12
202,436,1331189,12
203,437,584278,12
204,438,748703,12
205,439,345225,12
206,440,393675,12
207,441,1938330,12
208,442,1306288,12
209,443,660330,12
210,444,751040,12
211,445,1393167,12
212,446,763013,12
213,447,520054,12
214,448,411288,12
215,449,3426543,12
216,450,959051,12
217,451,161953,12
218,452,1582656,12
219,453,131312,13
220,454,225013,13
221,455,257866,13
222,456,214003,13
223,457,349535,13
224,458,189559,13
225,460,215835,13
226,461,109483,13
227,462,105149,13
228,463,43635,13
229,464,939503,13
230,900833,969118,13
231,900834,135791,13
232,900835,261338,13
233,900836,270427,13
234,900837,215472,13
235,900838,191343,13
236,900839,266572,13
237,900840,217511,13
238,900841,111446,13
239,900842,46793,13
240,900843,111194,13
241,465,115263,14
242,70036,1194956,15
243,70037,185254,15
244,900005,641906,15
245,467,0,16
246,468,356572,17
247,470,6741109,17
248,471,205405,17
249,472,814,17
250,473,4246681,17
251,474,1578287,17
252,475,472829,17
253,476,5319773,17
254,477,2196199,17
255,478,351817,18
256,479,556257,18
257,480,1690526,18
258,481,1450407,18
259,482,539440,18
260,483,1243721,18
261,484,756677,18
262,485,389272,18
263,486,1825538,18
264,493,1675073,19
265,516,1273734,19
266,528,483338,19
267,534,1624014,19
268,536,908055,19
269,541,426898,19
270,558,600079,19
271,147298,2009930,19
272,147299,317426,19
273,147302,267440,19
274,147306,655378,19
275,561,353248,20
276,562,215777,21
277,563,33571,21
278,564,171,21
279,565,7776,21
280,566,106439,21
281,567,180573,21
282,568,268579,21
283,569,132207,21
284,570,86731,21
285,571,260233,21
286,572,128586,21
287,573,245091,21
288,575,8310235,23
289,576,31920452,23
290,577,57322532,23
291,578,16459322,23
292,579,20613574,23
293,580,12100613,23
294,61363,17637100,23
295,900396,379721,23
296,900397,8111123,23
297,900398,31856028,23
298,900399,45248260,23
299,900400,16609495,23
300,900401,12094344,23
301,900402,20676144,23
302,900403,17685506,23
303,900404,12080382,23
304,581,43164,24
305,582,5025,24
306,583,23526,24
307,584,36890,24
308,585,11271,24
309,586,6144,24
310,587,12455,24
311,588,77673,24
312,589,13269,24
313,590,34169,24
314,591,18329,24
315,593,1329592,26
316,594,1361740,26
317,595,975023,26
318,596,2592442,26
319,597,828570,26
320,598,987604,26
321,599,1104129,26
322,600,1250852,27
323,601,6593758,27
324,602,3761558,27
325,603,132781,28
326,604,87945,28
327,605,48106,28
328,606,57183,28
329,607,49999,28
330,608,34690,28
331,609,1225382,29
332,610,1044243,29
333,611,1875719,29
334,612,1678512,29
335,613,853893,29
336,614,899577,29
337,615,718683,29
338,616,673115,29
339,617,614862,29
340,618,1467742,29
341,619,820208,29
342,620,1088094,29
343,621,42697,30
344,622,19955,31
345,623,101507,31
346,624,31788,31
347,625,3206,31
348,626,13769,31
349,627,17031,31
350,628,49529,31
351,629,44198,31
352,630,29034,31
353,631,25083,31
354,632,79558,31
355,633,81742,31
356,634,50527,31
357,635,116879,31
358,636,20251,31
359,637,65570,31
360,638,17807,31
361,639,24082,31
362,640,63914,31
363,641,24168,31
364,648,197672,33
365,40443,475821,33
366,40444,626899,33
367,40445,2060434,33
368,40446,3108039,33
369,40447,598494,33
370,40448,940770,33
371,40449,3286394,33
372,40450,569713,33
373,901145,494954,33
374,901146,623529,33
375,901147,2040761,33
376,901148,3103299,33
377,901149,600580,33
378,901150,197905,33
379,901151,939568,33
380,901152,3291115,33
381,901153,569751,33
382,901154,139,33
383,901155,159,33
384,652,2207344,34
385,653,1148015,34
386,654,717736,35
387,655,29493,35
388,656,56287,35
389,657,59984,35
390,658,112551,35
391,659,391656,35
392,660,182346,35
393,661,187899,35
394,662,420329,35
395,663,247680,35
396,665,937801,37
397,666,3454732,37
398,667,883967,37
399,668,4408725,37
400,669,15136805,37
401,670,9591872,37
402,671,3220128,37
403,672,3928100,37
404,673,7319855,37
405,674,7739246,37
406,675,3842956,37
407,676,2919037,37
408,677,21632034,37
409,678,9687721,37
410,679,4136476,37
411,680,11462822,37
412,681,9768094,37
413,682,3436277,37
414,683,17810958,37
415,684,3636831,37
416,685,11288380,37
417,686,1824051,37
418,687,633594,37
419,688,7302132,37
420,689,46165080,37
421,690,2410813,37
422,691,1709840,37
423,39503,296,39
424,39504,271,39
425,39505,23,39
426,39506,25101,39
427,39507,3869,39
428,698,70550,40
429,699,327451,40
430,700,13014,40
431,701,47166,40
432,702,296849,41
433,703,405174,41
434,704,164416,41
435,705,106558,41
436,706,220568,41
437,707,113875,41
438,708,141621,41
439,709,119027,41
440,710,118424,41
441,711,121372,41
442,712,244183,41
443,713,185861,41
444,714,223449,41
445,715,651144,41
446,716,104496,41
447,717,201897,41
448,718,161570,41
449,719,109372,41
450,720,180213,41
451,721,103031,41
